date_k;price_ram;Date;Price_gold;process nodes(nm)
01.01.1965;1020264,35;1969-04;43.295;10000
01.01.1965;988457,5333;1969-05;43.461;10000
01.01.1965;956650,7167;1969-06;41.442;10000
01.01.1965;924843,9;1969-07;41.755;10000
01.01.1965;893037,0833;1969-08;41.128;10000
01.01.1965;861230,2667;1969-09;40.865;10000
01.01.1965;829423,45;1969-10;40.476;10000
01.01.1965;797616,6333;1969-11;37.452;10000
01.01.1965;765809,8167;1969-12;35.189;10000
01.01.1970;734003;1970-01;34.946;8000
01.01.1970;724707,3611;1970-02;34.994;8000
01.01.1970;715411,7222;1970-03;35.089;8000
01.01.1970;706116,0833;1970-04;35.623;8000
01.01.1970;696820,4444;1970-05;35.958;8000
01.01.1970;687524,8056;1970-06;35.437;8000
01.01.1970;678229,1667;1970-07;35.329;8000
01.01.1970;668933,5278;1970-08;35.377;8000
01.01.1970;659637,8889;1970-09;36.196;8000
01.01.1970;650342,25;1970-10;37.553;8000
01.01.1970;641046,6111;1970-11;37.455;8000
01.01.1970;631750,9722;1970-12;37.434;8000
01.01.1970;622455,3333;1971-01;37.868;8000
01.01.1970;613159,6944;1971-02;38.716;8000
01.01.1970;603864,0556;1971-03;38.873;8000
01.01.1970;594568,4167;1971-04;39.001;8000
01.01.1970;585272,7778;1971-05;40.493;8000
01.01.1970;575977,1389;1971-06;40.105;8000
01.01.1970;566681,5;1971-07;40.929;8000
01.01.1970;557385,8611;1971-08;42.722;8000
01.01.1970;548090,2222;1971-09;41.976;8000
01.01.1970;538794,5833;1971-10;42.473;8000
01.01.1970;529498,9444;1971-11;42.842;8000
01.01.1970;520203,3056;1971-12;43.455;8000
01.01.1970;510907,6667;1972-01;45.640;8000
01.01.1970;501612,0278;1972-02;48.237;8000
01.01.1970;492316,3889;1972-03;48.288;8000
01.01.1970;483020,75;1972-04;49.026;8000
01.01.1970;473725,1111;1972-05;54.500;8000
01.01.1970;464429,4722;1972-06;62.170;8000
01.01.1970;455133,8333;1972-07;65.558;8000
01.01.1970;445838,1944;1972-08;66.917;8000
01.01.1970;436542,5556;1972-09;65.589;8000
01.01.1970;427246,9167;1972-10;64.824;8000
01.01.1970;417951,2778;1972-11;62.726;8000
01.01.1970;408655,6389;1972-12;63.779;8000
01.01.1973;399360;1973-01;65.127;8000
01.01.1973;392294,4167;1973-02;73.971;8000
01.01.1973;385228,8333;1973-03;84.105;8000
01.01.1973;378163,25;1973-04;90.441;8000
01.01.1973;371097,6667;1973-05;101.623;8000
01.01.1973;364032,0833;1973-06;119.800;8000
01.01.1973;356966,5;1973-07;120.364;8000
01.01.1973;349900,9167;1973-08;106.225;8000
01.01.1973;342835,3333;1973-09;103.034;8000
01.01.1973;335769,75;1973-10;99.923;8000
01.01.1973;328704,1667;1973-11;94.645;8000
01.01.1973;321638,5833;1973-12;106.236;8000
01.01.1974;314573;1974-01;129.027;6000
01.01.1974;303377,25;1974-02;150.000;6000
01.01.1974;292181,5;1974-03;168.298;6000
01.01.1974;280985,75;1974-04;172.243;6000
01.01.1974;269790;1974-05;163.568;6000
01.01.1974;258594,25;1974-06;154.013;6000
01.01.1974;247398,5;1974-07;142.283;6000
01.01.1974;236202,75;1974-08;154.362;6000
01.01.1974;225007;1974-09;151.660;6000
01.01.1974;213811,25;1974-10;158.533;6000
01.01.1974;202615,5;1974-11;181.483;6000
01.01.1974;191419,75;1974-12;183.683;6000
29.01.1975;180224;1975-01;176.864;3000
29.01.1975;142677,3333;1975-02;179.553;3000
29.01.1975;105130,6667;1975-03;178.203;3000
01.04.1975;67584;1975-04;170.066;3000
01.04.1975;64640;1975-05;167.293;3000
01.04.1975;61696;1975-06;164.250;3000
01.04.1975;58752;1975-07;164.867;3000
01.04.1975;55808;1975-08;163.168;3000
01.04.1975;52864;1975-09;144.311;3000
01.10.1975;49920;1975-10;142.691;3000
01.10.1975;46848;1975-11;142.565;3000
01.10.1975;43776;1975-12;139.279;3000
01.01.1976;40704;1976-01;131.695;3000
01.01.1976;44832;1976-02;130.940;3000
03.03.1976;48960;1976-03;132.676;3000
03.03.1976;40320;1976-04;127.910;3000
03.03.1976;31680;1976-05;126.913;3000
02.06.1976;23040;1976-06;125.684;3000
30.07.1976;32000;1976-07;117.866;3000
30.07.1976;32800;1976-08;110.055;3000
30.07.1976;33600;1976-09;114.098;3000
30.07.1976;34400;1976-10;116.095;3000
30.07.1976;35200;1976-11;130.341;3000
30.07.1976;36000;1976-12;133.674;3000
29.01.1977;36800;1977-01;132.306;3000
29.01.1977;36171,42857;1977-02;136.163;3000
29.01.1977;35542,85714;1977-03;148.339;3000
29.01.1977;34914,28571;1977-04;149.184;3000
29.01.1977;34285,71429;1977-05;146.536;3000
29.01.1977;33657,14286;1977-06;140.828;3000
29.01.1977;33028,57143;1977-07;143.383;3000
29.01.1977;32400;1977-08;145.009;3000
29.01.1977;31771,42857;1977-09;149.334;3000
29.01.1977;31142,85714;1977-10;158.848;3000
29.01.1977;30514,28571;1977-11;162.132;3000
29.01.1977;29885,71429;1977-12;160.480;3000
29.01.1977;29257,14286;1978-01;173.207;3000
29.01.1977;28628,57143;1978-02;178.360;3000
03.03.1978;28000;1978-03;183.771;3000
01.04.1978;29440;1978-04;175.323;3000
01.05.1978;19200;1978-05;176.190;3000
01.05.1978;17600;1978-06;183.761;3000
30.07.1978;16000;1978-07;188.569;3000
30.07.1978;15733,33333;1978-08;206.455;3000
30.07.1978;15466,66667;1978-09;212.212;3000
01.10.1978;15200;1978-10;227.432;3000
01.10.1978;13642,66667;1978-11;207.082;3000
01.10.1978;12085,33333;1978-12;207.895;3000
01.01.1979;10528;1979-01;226.986;3000
01.01.1979;10103,11111;1979-02;245.590;3000
01.01.1979;9678,222222;1979-03;242.348;3000
01.01.1979;9253,333333;1979-04;239.174;3000
01.01.1979;8828,444444;1979-05;257.738;3000
01.01.1979;8403,555556;1979-06;279.360;3000
01.01.1979;7978,666667;1979-07;295.009;3000
01.01.1979;7553,777778;1979-08;300.793;3000
01.01.1979;7128,888889;1979-09;354.498;3000
01.10.1979;6704;1979-10;390.959;3000
01.10.1979;6629,333333;1979-11;391.518;3000
01.10.1979;6554,666667;1979-12;463.666;3000
01.01.1980;6480;1980-01;674.580;3000
01.01.1980;6673,333333;1980-02;665.893;3000
01.01.1980;6866,666667;1980-03;554.276;3000
01.01.1980;7060;1980-04;516.710;3000
01.01.1980;7253,333333;1980-05;514.268;3000
01.01.1980;7446,666667;1980-06;600.786;3000
01.01.1980;7640;1980-07;645.750;3000
01.01.1980;7833,333333;1980-08;626.360;3000
01.01.1980;8026,666667;1980-09;673.941;3000
01.01.1980;8220;1980-10;662.270;3000
01.01.1980;8413,333333;1980-11;623.875;3000
01.01.1980;8606,666667;1980-12;596.712;3000
01.01.1981;8800;1981-01;557.813;3000
01.01.1981;8079,833333;1981-02;500.800;3000
01.01.1981;7359,666667;1981-03;499.693;3000
01.01.1981;6639,5;1981-04;496.625;3000
01.01.1981;5919,333333;1981-05;480.316;3000
01.01.1981;5199,166667;1981-06;460.500;3000
30.07.1981;4479;1981-07;409.284;3000
30.07.1981;4319,166667;1981-08;410.240;1500
30.07.1981;4159,333333;1981-09;443.773;1500
30.07.1981;3999,5;1981-10;437.680;1500
30.07.1981;3839,666667;1981-11;413.405;1500
30.07.1981;3679,833333;1981-12;410.119;1500
01.01.1982;3520;1982-01;384.163;1500
01.01.1982;3992;1982-02;374.458;1500
03.03.1982;4464;1982-03;330.413;1500
03.03.1982;4050;1982-04;350.335;1500
03.03.1982;3636;1982-05;334.505;1500
03.03.1982;3222;1982-06;314.961;1500
03.03.1982;2808;1982-07;337.895;1500
03.03.1982;2394;1982-08;363.413;1500
01.09.1982;1980;1982-09;438.150;1500
01.09.1982;2084;1982-10;422.786;1500
01.09.1982;2188;1982-11;415.114;1500
01.09.1982;2292;1982-12;444.776;1500
01.01.1983;2396;1983-01;481.838;1500
01.01.1983;2344;1983-02;493.488;1500
