Date;price_ram;Price_gold;processnodes(nm);AMDOpen;AMDHigh;AMDLow;AMDClose;AMDAdjClose;AMDVolume;IntelOpen;IntelHigh;IntelLow;IntelClose;IntelAdjClose;IntelVolume;MicrosoftOpen;MicrosoftHigh;MicrosoftLow;MicrosoftClose;MicrosoftAdjClose;MicrosoftVolume;Micronopen;Micronhigh;Micronlow;Micronclose;Micronvolume;hynixOpen;hynixClose;hynixHigh;hynixLow;Volume;SamsungOpen;SamsungHigh;SamsungLow;SamsungClose;SamsungVolume;tupe_ram;max_stick;maks_desktop_gb
1964-07;2902458.8;35.080;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1964-08;2859117.667;35.080;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1964-09;2815776.533;35.090;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1964-10;2772435.4;35.110;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1964-11;2729094.267;35.100;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1964-12;2685753.133;35.120;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1965-01;2642412;35.130;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1965-02;2610605.183;35.140;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1965-03;2578798.367;35.160;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1965-04;2546991.55;35.140;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1965-05;2515184.733;35.100;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1965-06;2483377.917;35.100;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1965-07;2451571.1;35.120;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1965-08;2419764.283;35.150;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1965-09;2387957.467;35.140;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1965-10;2356150.65;35.110;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1965-11;2324343.833;35.110;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1965-12;2292537.017;35.130;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966-01;2260730.2;35.150;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966-02;2228923.383;35.170;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966-03;2197116.567;35.150;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966-04;2165309.75;35.130;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966-05;2133502.933;35.120;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966-06;2101696.117;35.150;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966-07;2069889.3;35.180;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966-08;2038082.483;35.180;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966-09;2006275.667;35.190;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966-10;1974468.85;35.160;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966-11;1942662.033;35.160;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966-12;1910855.217;35.180;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1967-01;1879048.4;35.180;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1967-02;1847241.583;35.170;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1967-03;1815434.767;35.160;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1967-04;1783627.95;35.170;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1967-05;1751821.133;35.180;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1967-06;1720014.317;35.190;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1967-07;1688207.5;35.190;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1967-08;1656400.683;35.190;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1967-09;1624593.867;35.190;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
